,job_title,company_name,job_source,job_type,address,job_description,tech_keywords,job_posted_date,job_source_url
195,python developer with reactjs/terraform/nodejs,"tanisha systems, inc",linkedin,full time onsite,"jersey city, nj",,python,2023-04-18 15:42:15.644654+00:00,https://www.linkedin.com/jobs/view/3570582861/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=U4zcl8BhuE9E3Yp6W%2B7r7g%3D%3D&trackingId=U3krI76a5hBj9D2zyIcxgg%3D%3D&trk=flagship3_search_srp_jobs
196,python developer (onsite),"tanisha systems, inc",linkedin,full time onsite,"plano, tx",,python,2023-04-18 15:42:15.643345+00:00,https://www.linkedin.com/jobs/view/3570587371/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=U4zcl8BhuE9E3Yp6W%2B7r7g%3D%3D&trackingId=G6m02tlcOfEB9Jx%2B95l8gg%3D%3D&trk=flagship3_search_srp_jobs
197,senior python developer/lead with mongodb,infinite computer solutions,linkedin,contract,united states,,python,2023-04-18 15:42:15.639655+00:00,https://www.linkedin.com/jobs/view/3567979331/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=sZ8p%2BcyW0MVIihfw7qABDw%3D%3D&trackingId=TcUCD35cIv7VOOH6TjLX0g%3D%3D&trk=flagship3_search_srp_jobs
198,python developer,enin system inc,linkedin,contract,"katy, tx",,python,2023-04-18 15:42:15.623761+00:00,https://www.linkedin.com/jobs/view/3567993419/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ddsjhz%2FUe%2F%2FQUMSoPGJ2lg%3D%3D&trackingId=KykIJormTDlHgiRXNglDaA%3D%3D&trk=flagship3_search_srp_jobs
199,python developer,mind solutions llc,linkedin,contract,"malvern, pa",,python,2023-04-18 15:42:15.623454+00:00,https://www.linkedin.com/jobs/view/3567998094/?eBP=JOB_SEARCH_ORGANIC&refId=ddsjhz%2FUe%2F%2FQUMSoPGJ2lg%3D%3D&trackingId=R8gMMQHWhsVxNPpVqYKTSQ%3D%3D&trk=flagship3_search_srp_jobs
200,python full stack developer-mclean va-(3 days hybrid onsite),dice,linkedin,full time remote,"mclean, va",,python,2023-04-18 11:27:36.264217+00:00,https://www.linkedin.com/jobs/view/python-full-stack-developer-mclean-va-3-days-hybrid-onsite-at-dice-3574474084?refId=nF49s4uIIkS89hz1Af9zMg%3D%3D&trackingId=YwtLYgl098LlSjLdcLEJQQ%3D%3D&position=8&pageNum=20&trk=public_jobs_jserp-result_search-card
201,principal software engineer - full-stack - python / django,philosophie (now infobeans),linkedin,full time remote,united states,,python,2023-04-18 11:27:36.263655+00:00,https://www.linkedin.com/jobs/view/principal-software-engineer-full-stack-python-django-at-philosophie-now-infobeans-3566910062?refId=a7ltvTwu29Xb3ZZGssbQ5g%3D%3D&trackingId=JZPUjrEF8SfNoUDGWAL9Xw%3D%3D&position=17&pageNum=18&trk=public_jobs_jserp-result_search-card
202,senior software engineer - python (us remote),motorola solutions,linkedin,full time remote,"boston, ma",,python,2023-04-18 11:27:36.259859+00:00,https://www.linkedin.com/jobs/view/senior-software-engineer-python-us-remote-at-motorola-solutions-3574336274?refId=Z96jhWr84x1j9Qo9dnFyLQ%3D%3D&trackingId=3cJSFhAlI5TB1fJeyWLdqw%3D%3D&position=9&pageNum=9&trk=public_jobs_jserp-result_search-card
203,lead python aws developer,software technology inc.,linkedin,full time remote,united states,,python,2023-04-18 11:27:36.257215+00:00,https://www.linkedin.com/jobs/view/lead-python-aws-developer-at-software-technology-inc-3569567391?refId=wMCm%2BfZ0A6aN5F5kzQ9W8Q%3D%3D&trackingId=ihofcoyKfnzVP%2BBoUQHcUA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
204,"f-35 senior software systems engineer (python, java)","bae systems, inc.",linkedin,full time onsite,"fort worth, tx",,python,2023-04-18 11:27:36.255262+00:00,https://www.linkedin.com/jobs/view/f-35-senior-software-systems-engineer-python-java-at-bae-systems-inc-3570617980?refId=WnEhqiDLu7nsTMeDt39mLQ%3D%3D&trackingId=axt3LnIprSXq24O7xKThKg%3D%3D&position=15&pageNum=36&trk=public_jobs_jserp-result_search-card
