job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type,job_description_tags
Software Engineer- Lead,S2SSoft,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/4bff986a-5082-4023-94ca-b2082c54579a?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Migration Engineer/Software Engineer Specialist,Ampcus Inc,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/449c2d91-6cf9-4b09-8bc6-c5e7577535e2?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
GraphQL Software Engineer,Precision Technologies Corp,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/ad1ac3a9-2b6c-4113-9c59-3477fe1adf7d?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Senior Software Engineer - Z22598326 ; Rate: Open ; W2 Contract Only,Centizen,"Remote or Beaverton, OR, USA","Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/d94b7b9d-a0cf-479a-af66-259966cb9633?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Senior Full Stack Software Engineer (React/Lambda Based),Kellton,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/34030975-c011-4ec1-a0ec-341f2b45424a?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Lead Salesforce Developer / Engineer - Service Cloud and Sales Cloud,DynPro Inc.,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/76d15a05-fe5a-444e-a09b-65ecc5dbe9c6?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer (GO-Language),Xoriant Corporation,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/e589ae78-e351-428c-8a2a-e7d3df8b9dd5?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer | eCommerce,Vedainfo Inc.,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/c2c6a5a4-3b7e-4d20-84b1-d8efc4dfe785?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer,To The New,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/cd990c3c-cbcf-462a-a246-519b25ade7fa?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Fully Remote - LEAD SDET - Software Engineer in Test,Resource Informatics Group,"Remote or Irving, TX, USA","Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/f6d1f7be-23f7-4a0e-bdbf-0640bfb1f8f7?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
